1번,2번,3번,4번,5번,6번
0.2303675089305041,0.19372270768218583,0.16939311847863062,0.33823002016939185,0.059488811218219945,0.008797833521067869
0.46130007164709264,0.279364671387463,0.17231103782138465,0.052376694687730735,0.02419779434787927,0.010449730108449688
0.23548173792639265,0.25470659369944015,0.07782592370393705,0.3142779050947642,0.07835822684924601,0.03934961272621985
0.2559134272479368,0.32077017567311467,0.33477639547744564,0.031386433500758995,0.05607415288996414,0.0010794152107797066
0.7027239938512001,0.07744607322536866,0.09347360889188057,0.0486666465046402,0.058372787163923044,0.01931689036298738
0.28132830682363014,0.25644946915786454,0.07693211355590496,0.1337839689947805,0.16523662483995843,0.08626951662786139
0.10803369903315133,0.22735801170979494,0.2615104224839509,0.3432614897568181,0.055788564993644124,0.004047812022640703
0.30277142957069536,0.21755984642217036,0.1361665144029548,0.05837527556531216,0.28274525852133925,0.002381675517528085
0.3253316900137517,0.2218845950282317,0.3011800804808989,0.09869142908385903,0.0391193552981612,0.013792850095097607
0.21739857755148037,0.5656611659162383,0.07837086013618119,0.08155222044395509,0.042172506081259754,0.01484466987088522
0.2689176355102202,0.08760780119458748,0.22591504025850526,0.29425197914039997,0.08873168248870293,0.03457586140758411
0.41085543975972394,0.1614371533020146,0.14461307765879586,0.04143888762564725,0.2380457492671079,0.0036096923867104122
0.1429687555359673,0.5045095261212664,0.21229549383300533,0.06600701512638356,0.04798884880485107,0.026230360578526325
0.21641299571460834,0.14754576433658242,0.3073321215755097,0.23671518260339883,0.08506489028488887,0.006929045485011935
0.31583181617846223,0.2266858005914443,0.36669287874988804,0.04306405577883978,0.026601220564277123,0.021124228137088398
0.20540007132721722,0.14168518154870452,0.39851294611199917,0.1239064086701926,0.10979199804952608,0.02070339429236044
0.36888038391392847,0.2466002736395686,0.08362660392124768,0.1436690577892719,0.10446242003732402,0.052761260698659496
